slug,center_lat,center_lon,zoom
n15-juasseh-negeri-sembilan,2.831168,102.245174,10.89006455452682
n16-seri-menanti-negeri-sembilan,2.75449,102.127795,10.031552135560965
n17-senaling-negeri-sembilan,2.734318,102.321394,11.622956499716226
n18-pilah-negeri-sembilan,2.721283,102.213678,11.345642089357524
n19-johol-negeri-sembilan,2.628516,102.265188,10.644610435509492
n20-labu-negeri-sembilan,2.737928,101.830064,11.098467650248462
n21-bukit-kepayang-negeri-sembilan,2.712599,101.902347,11.96720844647119
n22-rahang-negeri-sembilan,2.700892,101.937882,12.909459724800936
n23-mambau-negeri-sembilan,2.679013,101.920944,12.627179217450678
n24-seremban-jaya-negeri-sembilan,2.689172,101.972415,12.370115135874517
n25-paroi-negeri-sembilan,2.648519,102.006686,10.913813649583469
n26-chembong-negeri-sembilan,2.60199,102.067934,10.448780776191114
n27-rantau-negeri-sembilan,2.61932,101.908323,10.90824852197175
n28-kota-negeri-sembilan,2.526334,102.122006,10.457044645278723
n29-chuah-negeri-sembilan,2.649948,101.769874,10.995097482253328
n30-lukut-negeri-sembilan,2.607562,101.854335,11.171647106323768
n31-bagan-pinang-negeri-sembilan,2.516914,101.893073,10.784490871776613
n32-linggi-negeri-sembilan,2.480807,101.938877,10.684701320035622
n33-sri-tanjung-negeri-sembilan,2.535194,101.834776,12.660416836067862
n34-gemas-negeri-sembilan,2.59401,102.526154,10.614698764259842
n35-gemencheh-negeri-sembilan,2.545652,102.470154,10.107156046073037
n36-repah-negeri-sembilan,2.507712,102.294972,11.551937500029346
n01-kuala-linggi-melaka,2.38471,102.018779,11.411447568532026
n02-tanjung-bidara-melaka,2.344652,102.080185,11.443366902406774
n03-ayer-limau-melaka,2.408119,102.09052,11.423483305552699
n04-lendu-melaka,2.333644,102.138508,11.555081375647134
n05-taboh-naning-melaka,2.432542,102.16074,11.129644697834447
n06-rembia-melaka,2.349238,102.207097,11.43289219079463
n07-gadek-melaka,2.430121,102.232425,11.48038493765911
n08-machap-jaya-melaka,2.405399,102.29351,10.793501602864135
n09-durian-tunggal-melaka,2.314106,102.290995,11.672641416160854
n10-asahan-melaka,2.425057,102.466659,11.175457076847827
n11-sungai-udang-melaka,2.277459,102.14674,12.299397312394605
n12-pantai-kundor-melaka,2.245669,102.15673,12.203602747705707
n13-paya-rumput-melaka,2.291085,102.216053,11.660977335756254
n14-kelebang-melaka,2.235785,102.18957,12.275119869894022
n15-pengkalan-batu-melaka,2.222776,102.253443,12.782498930480392
n16-ayer-keroh-melaka,2.261086,102.292432,12.439742189816705
n17-bukit-katil-melaka,2.226382,102.289336,12.960906612327927
n18-ayer-molek-melaka,2.208199,102.345942,12.011870956408842
n19-kesidang-melaka,2.239354,102.233591,11.975763697841689
n20-kota-laksamana-melaka,2.20366,102.240816,13.075827977609148
n21-duyong-melaka,2.199742,102.283821,13.238685765216564
n22-bandar-hilir-melaka,2.189701,102.258514,13.490616371294553
n23-telok-mas-melaka,2.131762,102.302141,11.239906462085433
n24-bemban-melaka,2.305162,102.376712,10.877742218635817
n25-rim-melaka,2.306028,102.465052,11.002221382185537
