date,parlimen,dun,seat,ballot_order,name,party,votes
16 May 2010,212,21200,"PRK PARLIMEN P.212 SIBU, SARAWAK (2010)",1,ROBERT LAU HUI YEW,BARISAN NASIONAL (BN),"18,447"
16 May 2010,212,21200,"PRK PARLIMEN P.212 SIBU, SARAWAK (2010)",2,NARAWI BIN HARON ,BEBAS (BEBAS),232
16 May 2010,212,21200,"PRK PARLIMEN P.212 SIBU, SARAWAK (2010)",3,WONG HO LENG,PARTI TINDAKAN DEMOKRATIK (DAP),"18,845"
25 Apr 2010,094,09400,"PRK PARLIMEN P.094 HULU SELANGOR, SELANGOR (2010)",1,P.KAMALANATHAN,BARISAN NASIONAL (BN),"24,997"
25 Apr 2010,094,09400,"PRK PARLIMEN P.094 HULU SELANGOR, SELANGOR (2010)",2,DATUK ZAID IBRAHIM,PARTI KEADILAN RAKYAT (PKR),"23,272"
11 Oct 2009,132,00031,"PRK DUN N.31 BAGAN PINANG, NEGERI SEMBILAN (2009)",1,MOHD ISA BIN ABDUL SAMAD ,BARISAN NASIONAL (BN),"8,013"
11 Oct 2009,132,00031,"PRK DUN N.31 BAGAN PINANG, NEGERI SEMBILAN (2009)",2,ZULKEFLY MOHAMAD BIN OMAR,PARTI ISLAM SE MALAYSIA (PAS),"2,578"
25 Aug 2009,044,04411,"PRK DUN N.11 PERMATANG PASIR, PULAU PINANG (2009)",1,MOHD SALLEH BIN MAN,PARTI ISLAM SE MALAYSIA (PAS),"9,618"
25 Aug 2009,044,04411,"PRK DUN N.11 PERMATANG PASIR, PULAU PINANG (2009)",2,ROHAIZAT BIN OTHMAN,BARISAN NASIONAL (BN),"5,067"
14 Jul 2009,031,03141,"PRK DUN N.41 MANEK URAI, KELANTAN (2009)",1,MOHD FAUZI BIN ABDULLAH,PARTI ISLAM SE MALAYSIA (PAS),"5,348"
14 Jul 2009,031,03141,"PRK DUN N.41 MANEK URAI, KELANTAN (2009)",2,TUAN AZIZ BIN TUAN HAMAT@TUAN MAT,BARISAN NASIONAL (BN),"5,283"
31 May 2009,044,04412,"PRK DUN N.12 PENANTI, PULAU PINANG (2009)",1,MANSOR BIN OTHMAN,PARTI KEADILAN RAKYAT (PKR),"6,052"
31 May 2009,044,04412,"PRK DUN N.12 PENANTI, PULAU PINANG (2009)",2,KAK MIN,BEBAS (BEBAS),392
31 May 2009,044,04412,"PRK DUN N.12 PENANTI, PULAU PINANG (2009)",3,NAI KHAN ARI,BEBAS (BEBAS),494
31 May 2009,044,04412,"PRK DUN N.12 PENANTI, PULAU PINANG (2009)",4,PADUKA RAMIZU,BEBAS (BEBAS),56
07 Apr 2009,203,20329,"PRK DUN N.29 BATANG AIR, SARAWAK (2009)",1,JAWAH ANAK GERANG,PARTI KEADILAN RAKYAT (PKR),"2,053"
07 Apr 2009,203,20329,"PRK DUN N.29 BATANG AIR, SARAWAK (2009)",2,MALCOM MUSSEN LAMOH ,BARISAN NASIONAL (BN),"3,907"
07 Apr 2009,014,01425,"PRK DUN N.25 BUKIT SELAMBAU, KEDAH (2009)",1,R. LOGANATHAN,BEBAS (BEBAS),31
07 Apr 2009,014,01425,"PRK DUN N.25 BUKIT SELAMBAU, KEDAH (2009)",2,TAN HOCK HUAT,BEBAS (BEBAS),78
07 Apr 2009,014,01425,"PRK DUN N.25 BUKIT SELAMBAU, KEDAH (2009)",3,RADZI,BEBAS (BEBAS),25
