state,parlimen,area_name,ballot_order,name,candidate_uid,party,votes
Kelantan,P.032 Bachok,Bachok,1,Nik Min Ali,195,PERIKATAN,3761
Kelantan,P.032 Bachok,Bachok,2,Zulkiflee Bin Muhammad,196,PAS,13380
Kelantan,P.033 Pasir Mas Hilir,Pasir Mas Hilir,1,Nik Man Bin Nik Mohamed,197,PAS,12422
Kelantan,P.033 Pasir Mas Hilir,Pasir Mas Hilir,2,Che' Omar Bin Hj. Ali,198,PERIKATAN,3130
Kelantan,P.034 Pasir Mas Hulu,Pasir Mas Hulu,1,Dato' Raja Hanifah,199,PAS,9518
Kelantan,P.034 Pasir Mas Hulu,Pasir Mas Hulu,2,Yaacob Bin Awang,200,PERIKATAN,3559
Kelantan,P.035 Tumpat,Tumpat,1,Mahmood Juhan,201,PERIKATAN,6380
Kelantan,P.035 Tumpat,Tumpat,2,Haji Che' Hassan,202,PAS,10249
Kelantan,P.036 Kelantan Hilir,Kelantan Hilir,1,Hassan Hj. Yaacob,203,PERIKATAN,4327
Kelantan,P.036 Kelantan Hilir,Kelantan Hilir,2,Wan Mustapha,204,PAS,12438
Kelantan,P.037 Kota Bharu Hilir,Kota Bharu Hilir,1,Nik Ismail Bin Nik Hussin,205,PERIKATAN,6302
Kelantan,P.037 Kota Bharu Hilir,Kota Bharu Hilir,2,Haji Ahmad,206,PAS,9463
Kelantan,P.038 Kota Bharu Hulu,Kota Bharu Hulu,1,Haji Hussein Rahimi,207,PAS,14775
Kelantan,P.038 Kota Bharu Hulu,Kota Bharu Hulu,2,Che' Ismail Obrahim,208,PERIKATAN,3749
Melaka,P.039 Bandar Malacca,Bandar Malacca,1,Tan Kee Gak,209,MP,9396
Melaka,P.039 Bandar Malacca,Bandar Malacca,2,Wong Koon Yoon,210,PERIKATAN,8173
Melaka,P.039 Bandar Malacca,Bandar Malacca,3,Yeoh Ho Huat,211,BEBAS,265
Melaka,P.040 Malacca Tengah,Malacca Tengah,1,Tan Siew Sin,9,PERIKATAN,13635
Melaka,P.040 Malacca Tengah,Malacca Tengah,2,Hj. Abd. Majid Bin H. Hussin,212,PAS,4655
Melaka,P.041 Malacca Utara,Malacca Utara,1,Hj. Karim Bin Hj. Dalib,213,PAS,4461
