date,election,state,seat,ballot_order,candidate_rn,name_on_ballot,name_spr,party_on_ballot,party_uid,party,coalition_uid,coalition,votes
2026-07-11,SE-16,Johor,N.11 Serom,1,14626,Iqa Rahim,Nadhirah Afiqah Binti Abdull Rahim,BN,001-UMNO,UMNO,001-BN,BN,0
2026-07-11,SE-16,Johor,N.11 Serom,2,14627,Mahfidz Bin Omar,Mahfidz Bin Omar,PN,107-BERSATU,BERSATU,011-PN,PN,0
2026-07-11,SE-16,Johor,N.11 Serom,3,14628,Ahmad Nazari,Ahmad Nazari Bin Abd Hamid,PH,046-AMANAH,AMANAH,007-PH,PH,0
2026-07-11,SE-16,Johor,N.12 Bentayan,1,11917,Ng Yak Howe,Ng Yak Howe,PH,021-DAP,DAP,007-PH,PH,0
2026-07-11,SE-16,Johor,N.12 Bentayan,2,14629,Chua Lee Huat,Chua Lee Huat,BN,003-MCA,MCA,001-BN,BN,0
2026-07-11,SE-16,Johor,N.13 Simpang Jeram,1,13985,Ir. Ts. Haji Nazri,Nazri Bin Abdul Rahman,PH,046-AMANAH,AMANAH,007-PH,PH,0
2026-07-11,SE-16,Johor,N.13 Simpang Jeram,2,14630,Azman Bin Ismail,Azman Bin Ismail,BN,001-UMNO,UMNO,001-BN,BN,0
2026-07-11,SE-16,Johor,N.13 Simpang Jeram,3,14631,Anie Haziqah Shafii,Nurainie Haziqah Binti Shafii,MUDA,MUDA,120-MUDA,000-ALONE,ALONE,0
2026-07-11,SE-16,Johor,N.13 Simpang Jeram,4,14632,Awang,Arshed Bin Yahya,PN,004-PAS,PAS,011-PN,PN,0
2026-07-11,SE-16,Johor,N.14 Bukit Naning,1,11923,Jeghanaathan,Jeganathan A/L Subramaniam,BEBAS,000-BEBAS,BEBAS,000-ALONE,ALONE,0
2026-07-11,SE-16,Johor,N.14 Bukit Naning,2,10509,Md Ysahrudin,Md Ysahrudin Bin Kusni,PH,078-PKR,PKR,007-PH,PH,0
2026-07-11,SE-16,Johor,N.14 Bukit Naning,3,14633,Mohd Ghazali Bin Sabari,Mohd Ghazali Bin Sabari @ Atan,BN,001-UMNO,UMNO,001-BN,BN,0
2026-07-11,SE-16,Johor,N.14 Bukit Naning,4,14634,Iskandar Md Alias,Iskandar Bin Md Alias,BERSAMA,106-BERSAMA,BERSAMA,000-ALONE,ALONE,0
2026-07-11,SE-16,Johor,N.14 Bukit Naning,5,11920,Mohd Radzi Bin Amin,Mohd Radzi Bin Amin,PN,107-BERSATU,BERSATU,011-PN,PN,0
2026-07-11,SE-16,Johor,N.15 Maharani,1,14636,Anuar Hayan,Mohamad Anuar Bin Hayan,PN,004-PAS,PAS,011-PN,PN,0
2026-07-11,SE-16,Johor,N.15 Maharani,2,11924,Dato' Ashari,Ashari Bin Md.Sarip,BN,001-UMNO,UMNO,001-BN,BN,0
2026-07-11,SE-16,Johor,N.15 Maharani,3,14637,Amir Jack,Muhammad Amir Fiqri Bin Mustapha,MUDA,MUDA,120-MUDA,000-ALONE,ALONE,0
2026-07-11,SE-16,Johor,N.15 Maharani,4,11989,Taqiuddin Cheman,Muhammad Taqiuddin Bin Cheman,PH,046-AMANAH,AMANAH,007-PH,PH,0
2026-07-11,SE-16,Johor,N.16 Sungai Balang,1,12814,Cikgu Selamat Takim,Selamat Bin Takim,BN,001-UMNO,UMNO,001-BN,BN,0
2026-07-11,SE-16,Johor,N.16 Sungai Balang,2,14638,Amin Sailan,Muhammad Amin Bin Sailan @ Sazali,PN,004-PAS,PAS,011-PN,PN,0
2026-07-11,SE-16,Johor,N.16 Sungai Balang,3,14639,Soraya Badaruddin,Ayna Soraya Binti Badaruddin,PH,078-PKR,PKR,007-PH,PH,0
2026-07-11,SE-16,Johor,N.17 Semerah,1,12817,Fared Khalid,Mohd Fared Bin Mohd Khalid,BN,001-UMNO,UMNO,001-BN,BN,0
2026-07-11,SE-16,Johor,N.17 Semerah,2,12818,Halim Kepol,Othman Bin Kepol,PN,004-PAS,PAS,011-PN,PN,0
2026-07-11,SE-16,Johor,N.17 Semerah,3,9882,Mohd Khuzzan Bin Abu Bakar,Mohd Khuzzan Bin Abu Bakar,PH,078-PKR,PKR,007-PH,PH,0
2026-07-11,SE-16,Johor,N.18 Sri Medan,1,10512,Ustaz Rosdi,Ahmad Rosdi Bin Bahari,PN,004-PAS,PAS,011-PN,PN,0
2026-07-11,SE-16,Johor,N.18 Sri Medan,2,10511,Zulkurnain Kamisan,Zulkurnain Bin Kamisan,BN,001-UMNO,UMNO,001-BN,BN,0
2026-07-11,SE-16,Johor,N.18 Sri Medan,3,14640,Cikgu Hishamuddin Bin Ishak,Hishamuddin @ Misrin Bin Hj.Ishak,PH,078-PKR,PKR,007-PH,PH,0
2026-07-11,SE-16,Johor,N.19 Yong Peng,1,11930,Ah Soon,Ling Tian Soon,BN,003-MCA,MCA,001-BN,BN,0
2026-07-11,SE-16,Johor,N.19 Yong Peng,2,14641,Yong Hui Yi,Yong Hui Yi,PH,021-DAP,DAP,007-PH,PH,0
2026-07-11,SE-16,Johor,N.20 Semarang,1,13260,Syafiq Aziz,Muhammad Syafiq Bin A Aziz,PN,107-BERSATU,BERSATU,011-PN,PN,0
2026-07-11,SE-16,Johor,N.20 Semarang,2,8662,Datuk Samsolbari,Samsolbari Bin Jamali,BN,001-UMNO,UMNO,001-BN,BN,0
2026-07-11,SE-16,Johor,N.20 Semarang,3,14642,Ramli Abd Hamid,Ramli Bin Abd Hamid,PH,046-AMANAH,AMANAH,007-PH,PH,0
2026-07-11,SE-16,Johor,N.21 Parit Yaani,1,12825,Najib Samuri,Mohamad Najib Bin Samuri,BN,001-UMNO,UMNO,001-BN,BN,0
2026-07-11,SE-16,Johor,N.21 Parit Yaani,2,14643,Md.Ezam Taslim,Md.Ezam Bin Taslim,PH,046-AMANAH,AMANAH,007-PH,PH,0
2026-07-11,SE-16,Johor,N.22 Parit Raja,1,13287,Shazwan Zdainal,Shazwan Bin Zdainal Abidin,PH,021-DAP,DAP,007-PH,PH,0
2026-07-11,SE-16,Johor,N.22 Parit Raja,2,14644,Dr. Maliki,Mohamed Maliki Bin Mohamed Rapiee,PN,107-BERSATU,BERSATU,011-PN,PN,0
2026-07-11,SE-16,Johor,N.22 Parit Raja,3,11937,Rashidah Ramli,Nor Rashidah Binti Ramli,BN,001-UMNO,UMNO,001-BN,BN,0
2026-07-11,SE-16,Johor,N.23 Penggaram,1,14645,Felicia Poh Rui Ling,Felicia Poh Rui Ling,PH,021-DAP,DAP,007-PH,PH,0
2026-07-11,SE-16,Johor,N.23 Penggaram,2,14646,Cl Boo,Boo Chin Liong,BN,003-MCA,MCA,001-BN,BN,0
2026-07-11,SE-16,Johor,N.24 Senggarang,1,10180,Dato' Rashid Hasnon,Mohd Rashid Bin Hasnon,PN,107-BERSATU,BERSATU,011-PN,PN,0
2026-07-11,SE-16,Johor,N.24 Senggarang,2,9884,Onn Abu Bakar,Onn Bin Abu Bakar,PH,078-PKR,PKR,007-PH,PH,0
2026-07-11,SE-16,Johor,N.24 Senggarang,3,12832,Yusla Ismail,Mohd Yusla Bin Ismail,BN,001-UMNO,UMNO,001-BN,BN,0
2026-07-11,SE-16,Johor,N.25 Rengit,1,14647,Syed Mohamad,Syed Mohamad Bin Syed Alwi,PN,107-BERSATU,BERSATU,011-PN,PN,0
