date,state,seat,ballot_order,name,candidate_uid,party,party_uid,votes
2018-10-13,Negeri Sembilan,P.132 Port Dickson,1,Anwar Ibrahim,1426,PH,73,31016
2018-10-13,Negeri Sembilan,P.132 Port Dickson,2,Lau Seck Yan,23578,BEBAS,1,214
2018-10-13,Negeri Sembilan,P.132 Port Dickson,3,Saiful Bukhari Azlan,23579,BEBAS,1,82
2018-10-13,Negeri Sembilan,P.132 Port Dickson,4,Lt Kol (B) Hj Nazari,23580,PAS,3,7456
2018-10-13,Negeri Sembilan,P.132 Port Dickson,5,Tan Sri Mohd Isa Bin Abdul Samad,3830,BEBAS,1,4230
2018-10-13,Negeri Sembilan,P.132 Port Dickson,6,Stevie Chan,23582,BEBAS,1,337
2018-10-13,Negeri Sembilan,P.132 Port Dickson,7,Kan Chee Yuen,4613,BEBAS,1,154
2019-01-26,Pahang,P.078 Cameron Highlands,1,Cikgu Hj. Sallehudin Bin Hj. Ab. Talib,18681,BEBAS,1,314
2019-01-26,Pahang,P.078 Cameron Highlands,2,Wong Seng Yee,4896,BEBAS,1,276
2019-01-26,Pahang,P.078 Cameron Highlands,3,Ramli Bin Mohd Nor,4706,BN,25,12038
2019-01-26,Pahang,P.078 Cameron Highlands,4,Manogaran,3398,PH,73,8800
2019-03-02,Selangor,N.24 Semenyih,1,Zakaria Bin Haji Hanafi,23569,BN,25,19780
2019-03-02,Selangor,N.24 Semenyih,2,Aiman Zainali,23570,PH,73,17866
2019-03-02,Selangor,N.24 Semenyih,3,Uncle Kentang,4812,BEBAS,1,725
2019-03-02,Selangor,N.24 Semenyih,4,Nik Aziz,859,PSM,68,847
2019-04-13,Negeri Sembilan,N.27 Rantau,1,Tok Mat,4925,BN,25,10397
2019-04-13,Negeri Sembilan,N.27 Rantau,2,Malar Rajaram,23566,BEBAS,1,83
2019-04-13,Negeri Sembilan,N.27 Rantau,3,Hj Mohd Nor,14527,BEBAS,1,79
2019-04-13,Negeri Sembilan,N.27 Rantau,4,Dr. Streram Sinnasamy,23568,PH,73,5887
2019-05-11,Sabah,P.186 Sandakan,1,Hj. Hamzah Hj. Abdullah,2838,BEBAS,1,788
2019-05-11,Sabah,P.186 Sandakan,2,Sulaiman Bin Abdul Samat,1436,BEBAS,1,126
2019-05-11,Sabah,P.186 Sandakan,3,Vivian Wong Shir Yee,5131,DAP,18,16012
2019-05-11,Sabah,P.186 Sandakan,4,Chia Siew Yung,23563,BEBAS,1,178
