date,election,state,seat,ballot_order,candidate_uid,name_on_ballot,name,sex,ethnicity,age,party_on_ballot,party_uid,party,coalition_uid,coalition,votes,votes_perc,rank,result
1979-01-20,BY-ELECTION,Sarawak,N.08 Muara Tuang,1,B4C79,Razali Sabang,Mohamad Razali bin Sabang,M,Bumi Sarawak,-1,PAJAR,041-PAJAR,PAJAR,0,ALONE,846,18.84606816662954,2,lost
1979-01-20,BY-ELECTION,Sarawak,N.08 Muara Tuang,2,1NSA1,Adenan Hj. Satem,Adenan bin Satem,M,Bumi Sarawak,35,BN,029-PBB,PBB,3,BN,3643,81.15393183337046,1,won
1979-03-17,BY-ELECTION,Sarawak,N.04 Kuching Timor,1,VTRHK,Chua Kock Meng,Chua Kock Meng,M,Chinese,-1,BEBAS,000-BEBAS,BEBAS,0,ALONE,8122,77.30084705434473,1,won
1979-03-17,BY-ELECTION,Sarawak,N.04 Kuching Timor,2,Z8EKW,Chai Chong Fea,Chai Chong Fea,M,Chinese,-1,BN,015-SNAP,SNAP,3,BN,2385,22.69915294565528,2,lost
1979-07-30,BY-ELECTION,Terengganu,N.01 Kuala Besut,1,A0YJG,Husin bin Jusoh,Husin bin Jusoh,M,Malay,-1,PAS,004-PAS,PAS,0,ALONE,2745,44.16023166023166,2,lost
1979-07-30,BY-ELECTION,Terengganu,N.01 Kuala Besut,2,KM0YX,Wan Zakaria bin Abd. Rahman,Wan Zakaria bin Abd. Rahman,M,Malay,35,BN,001-UMNO,UMNO,3,BN,3471,55.839768339768334,1,won
1979-12-01,BY-ELECTION,Selangor,P.079 Pelabohan Kelang,1,VRAFP,V. Govindaraj,Govindaraj a/l Varadarajulu,M,Indian,46,BN,002-MIC,MIC,3,BN,17219,52.52417411463258,1,won
1979-12-01,BY-ELECTION,Selangor,P.079 Pelabohan Kelang,2,KSGZX,Subky Latif,Ahmad Subki bin Abdul Latif,M,Malay,39,PAS,004-PAS,PAS,0,ALONE,7525,22.953970045450387,3,lost
1979-12-01,BY-ELECTION,Selangor,P.079 Pelabohan Kelang,3,2P4P5,Abdul Hanif b. Abd. Manaf,Abdul Hanif bin Abd. Manaf,M,Malay,-1,BEBAS,000-BEBAS,BEBAS,0,ALONE,114,0.34774120733306896,4,lost_deposit
1979-12-01,BY-ELECTION,Selangor,P.079 Pelabohan Kelang,4,W5QDB,K. Ramasen,Ramasen a/l Krishnan,M,Indian,50,DAP,021-DAP,DAP,0,ALONE,7777,23.722661135344538,2,lost
1979-12-01,BY-ELECTION,Selangor,P.079 Pelabohan Kelang,5,63TRE,M. Hari Devan [Hari Devan Mookhen],Hari Devan a/l Mookhen,M,Indian,-1,BEBAS,000-BEBAS,BEBAS,0,ALONE,83,0.2531800018302169,5,lost_deposit
1979-12-01,BY-ELECTION,Selangor,P.079 Pelabohan Kelang,6,9HGTQ,Mani [Mani Nagaindra Valliappan],Mani Nagaindra a/l Valliappan,M,Indian,-1,BEBAS,000-BEBAS,BEBAS,0,ALONE,22,0.06710795229234665,7,lost_deposit
1979-12-01,BY-ELECTION,Selangor,P.079 Pelabohan Kelang,7,CZ6X0,Mohan [Mohan Lal],Mohan Lal,M,Indian,-1,BEBAS,000-BEBAS,BEBAS,0,ALONE,43,0.13116554311685935,6,lost_deposit
1979-11-24,BY-ELECTION,Sabah,N.47 Balung,1,Z82JB,S. Abas bin S. Ali,Syed Abas bin Syed Ali,M,Malay,32,BERJAYA,034-BERJAYA,BERJAYA,3,BN,2718,80.89285714285714,1,won
1979-11-24,BY-ELECTION,Sabah,N.47 Balung,2,0VN59,Ahmad Awang,Ahmad bin Awang (Madon),M,Bumi Sabah,37,BEBAS,000-BEBAS,BEBAS,0,ALONE,642,19.107142857142854,2,lost
1979-11-24,BY-ELECTION,Sabah,N.17 Ranau,1,F9SJN,Jirin bin Saliun,Jirin bin Saliun,M,Bumi Sabah,31,BERJAYA,034-BERJAYA,BERJAYA,3,BN,2496,65.37454164484024,1,won
1979-11-24,BY-ELECTION,Sabah,N.17 Ranau,2,XKSZ9,Amin bin Jahali @ Johnny,Amin bin Jahali @ Johnny,M,Bumi Sabah,36,PASOK,042-PASOK,PASOK,0,ALONE,1322,34.62545835515977,2,lost
