date,election,state,seat,ballot_order,candidate_uid,name_on_ballot,name,sex,ethnicity,age,party_on_ballot,party_uid,party,coalition_uid,coalition,votes,votes_perc,rank,result
1959-05-20,SE-01,Perak,N.24 Pekan Bharu,1,6ZMJF,Dharma Raja Seenivasagam,Dharma Raja Seenivasagam,M,Indian,34,PPP,006-PPP,PPP,0,ALONE,6048,58.49129593810445,1,won
1959-05-20,SE-01,Perak,N.24 Pekan Bharu,2,MHJTQ,Chang Hoey Chan,Chang Hoey Chan,M,Chinese,53,PERIKATAN,003-MCA,MCA,1,PERIKATAN,4292,41.50870406189555,2,lost
1959-05-20,SE-01,Perak,N.25 Pasir Puteh,1,M56RF,Mohd. Fajar Ali Bin Hassan,Mohd. Fajar Ali bin Hassan,M,Malay,27,PPP,006-PPP,PPP,0,ALONE,7467,62.209447638090474,1,won
1959-05-20,SE-01,Perak,N.25 Pasir Puteh,2,FZ3CZ,Yeoh Kian Teik,Yeoh Kian Teik,M,Chinese,34,PERIKATAN,003-MCA,MCA,1,PERIKATAN,4536,37.790552361909526,2,lost
1959-05-20,SE-01,Perak,N.26 Kuala Pari,1,VCYZ9,Sri Padhmaraja Seenivasagam,Sri Padhmaraja Seenivasagam,M,Indian,41,PPP,006-PPP,PPP,0,ALONE,7187,61.908863812559225,1,won
1959-05-20,SE-01,Perak,N.26 Kuala Pari,2,QJWTR,Chong Hong Chew,Chong Hong Chew,M,Chinese,34,PERIKATAN,003-MCA,MCA,1,PERIKATAN,4422,38.091136187440775,2,lost
1959-05-20,SE-01,Perak,N.27 Chemor,1,V0JX1,Teoh Kim Swee,Teoh Kim Swee,M,Chinese,-1,PPP,006-PPP,PPP,0,ALONE,2949,43.94278050961108,1,won
1959-05-20,SE-01,Perak,N.27 Chemor,2,YE8ZA,V. Mani Kutty,V. Mani Kutty,M,Indian,30,PERIKATAN,002-MIC,MIC,1,PERIKATAN,1726,25.718968857100283,2,lost
1959-05-20,SE-01,Perak,N.27 Chemor,3,1VZ1K,Mahmud Bin Sheikh Abdul Majid,Mahmud bin Sheikh Abdul Majid,M,Malay,54,BEBAS,000-BEBAS,BEBAS,0,ALONE,1049,15.631053494263151,3,lost
1959-05-20,SE-01,Perak,N.27 Chemor,4,93Q8D,Yau Hoon Seh,Yau Hoong Seh,M,Chinese,25,SF,005-LPM,LPM,2,SF,987,14.70719713902548,4,lost
1959-05-20,SE-01,Perak,N.28 Sungei Raia,1,59N3W,Chin Foon,Chin Foon,M,Chinese,-1,PPP,006-PPP,PPP,0,ALONE,3584,56.72681228236783,1,won
1959-05-20,SE-01,Perak,N.28 Sungei Raia,2,8QB65,Kok Yoon San,Kok Yoon San,M,Chinese,64,PERIKATAN,003-MCA,MCA,1,PERIKATAN,2015,31.893004115226336,2,lost
1959-05-20,SE-01,Perak,N.28 Sungei Raia,3,XNVP3,Othman Bin Mohamed Akib,Othman bin Mohamed Akib,M,Malay,49,PAS,004-PAS,PAS,0,ALONE,719,11.380183602405825,3,lost_deposit
1959-05-20,SE-01,Perak,N.29 Tanjong Tualang,1,VHS05,Too Joon Ting,Too Joon Hing,M,Chinese,48,PERIKATAN,003-MCA,MCA,1,PERIKATAN,2467,45.991797166293814,1,won
1959-05-20,SE-01,Perak,N.29 Tanjong Tualang,2,KCSF8,Thean Moi Tuck,Thean Moi Tuck,M,Chinese,36,PPP,006-PPP,PPP,0,ALONE,2359,43.97837434750186,2,lost
1959-05-20,SE-01,Perak,N.29 Tanjong Tualang,3,C518E,Haji Isa,Isa,M,Malay,40,PAS,004-PAS,PAS,0,ALONE,334,6.226696495152871,3,lost_deposit
1959-05-20,SE-01,Perak,N.29 Tanjong Tualang,4,FJQAQ,Ibrahim Karim,Ibrahim bin Karim,M,Malay,41,SF,009-PR,PR,2,SF,204,3.803131991051454,4,lost_deposit
1959-05-20,SE-01,Perak,N.30 Pusing,1,CHDAP,Khong Kok Yat,Khong Kok Yat,M,Chinese,29,PPP,006-PPP,PPP,0,ALONE,5401,55.140377743746804,1,won
1959-05-20,SE-01,Perak,N.30 Pusing,2,K0DD0,Lau Kooi Seong,Lau Kooi Seong,M,Chinese,34,PERIKATAN,003-MCA,MCA,1,PERIKATAN,3602,36.773864216436955,2,lost
1959-05-20,SE-01,Perak,N.30 Pusing,3,PE3F9,Mohamed Cholan,Mohamed Cholan,M,Malay,60,PAS,004-PAS,PAS,0,ALONE,792,8.085758039816232,3,lost_deposit
