date,election,state,seat,ballot_order,candidate_uid,name_on_ballot,name,sex,ethnicity,age,party_on_ballot,party_uid,party,coalition_uid,coalition,votes,votes_perc,rank,result
1976-05-01,SE-03,Sabah,N.18 Tambunan,2,BAJ8D,Ambrose Angkangon,Ambrose Angkangon,M,Bumi Sabah,-1,USNO,014-USNO,USNO,1,PERIKATAN,1197,34.13173652694611,2,lost
1976-05-01,SE-03,Sabah,N.19 Likas,1,ER8AP,Wong Yau Ket,Wong Yau Ket,M,Chinese,36,BERJAYA,034-BERJAYA,BERJAYA,0,ALONE,4119,75.0409910730552,1,won
1976-05-01,SE-03,Sabah,N.19 Likas,2,J5YCZ,Chau Tet On,Chau Tet On,M,Chinese,39,SCA,017-SCA-SBH,SCA,1,PERIKATAN,1273,23.191838221898344,2,lost
1976-05-01,SE-03,Sabah,N.19 Likas,3,ZZSHW,Kok Fung Chong,Kok Fung Chong,M,Chinese,-1,PEKEMAS,028-PEKEMAS,PEKEMAS,0,ALONE,97,1.7671707050464565,3,lost_deposit
1976-05-01,SE-03,Sabah,N.20 Kota Kinabalu,1,5NPAV,Chong Thain Vun,Chong Thien Vun,M,Chinese,41,BERJAYA,034-BERJAYA,BERJAYA,0,ALONE,4203,74.94650499286733,1,won
1976-05-01,SE-03,Sabah,N.20 Kota Kinabalu,2,NKMF8,Teng Song Cheng,Teng Song Cheng,M,Chinese,43,SCA,017-SCA-SBH,SCA,1,PERIKATAN,1405,25.05349500713267,2,lost
1976-05-01,SE-03,Sabah,N.21 Tanjong Aru,1,S1AHH,Darius Banil Binion,Darius Banil Binion,M,Bumi Sabah,-1,BERJAYA,034-BERJAYA,BERJAYA,0,ALONE,3964,66.99340882203819,1,won
1976-05-01,SE-03,Sabah,N.21 Tanjong Aru,2,WF0KT,Datuk Haji Mohamed Shariff Manjaji,Mohamed Shariff Manjaji,M,Bumi Sabah,36,USNO,014-USNO,USNO,1,PERIKATAN,1953,33.0065911779618,2,lost
1976-05-01,SE-03,Sabah,N.22 Inanam,1,ZWPP3,Clarence E. Mansul,Clarence Elong Mansul,M,Bumi Sabah,36,BERJAYA,034-BERJAYA,BERJAYA,0,ALONE,3002,63.48065130048636,1,won
1976-05-01,SE-03,Sabah,N.22 Inanam,2,T96RS,Datuk Herman Luping,Herman Luping,M,Bumi Sabah,-1,USNO,014-USNO,USNO,1,PERIKATAN,1727,36.519348699513635,2,lost
1976-05-01,SE-03,Sabah,N.23 Moyog,1,5PCAZ,Datuk Peter Mojuntin,Peter Joinod Mojuntin,M,Bumi Sabah,37,BERJAYA,034-BERJAYA,BERJAYA,0,ALONE,4020,86.86257562662057,1,won
1976-05-01,SE-03,Sabah,N.23 Moyog,2,3ACRC,Joseph Lanjuat,Joseph Lanjuat,M,Bumi Sabah,41,USNO,014-USNO,USNO,1,PERIKATAN,608,13.13742437337943,2,lost
1976-05-01,SE-03,Sabah,N.24 Kawang,1,CHRFH,Datuk Fred Sinidol,Fred Sinidol,M,Bumi Sabah,52,BERJAYA,034-BERJAYA,BERJAYA,0,ALONE,2260,49.91166077738516,1,won
1976-05-01,SE-03,Sabah,N.24 Kawang,2,6R2TN,Haji Karim Ghani,Abdul Karim bin Abdul Ghani,M,Bumi Sabah,36,USNO,014-USNO,USNO,1,PERIKATAN,2244,49.5583038869258,2,lost
