date,election,state,seat,voters_total,ballots_issued,ballots_not_returned,votes_rejected,votes_valid,majority,voter_turnout,majority_perc,votes_rejected_perc,ballots_not_returned_perc
1991-09-27,SE-06,Sarawak,N.23 Batang Ai,6636,5123,5,85,5033,83,77.20012055455094,1.6491158354857938,1.6608050019538885,0.09759906304899472
1991-09-27,SE-06,Sarawak,N.24 Saribas,8067,0,0,0,0,0,,,,
1991-09-27,SE-06,Sarawak,N.25 Layar,9633,7296,15,73,7208,2486,75.7396449704142,34.48945615982242,1.0026095316577393,0.20559210526315788
1991-09-27,SE-06,Sarawak,N.26 Kelaka,12435,9863,97,147,9619,6678,79.31644551668677,69.4250961638424,1.5052221994675403,0.9834735881577614
1991-09-27,SE-06,Sarawak,N.27 Krian,8854,6993,13,57,6923,1032,78.98125141179128,14.906832298136646,0.8166189111747851,0.18590018590018592
1991-09-27,SE-06,Sarawak,N.28 Belawai,7778,6024,5,66,5953,349,77.44921573669323,5.862590290609777,1.0965276624023923,0.08300132802124834
1991-09-27,SE-06,Sarawak,N.29 Serdeng,7324,5527,3,91,5433,1510,75.46422719825232,27.79311614209461,1.6473569876900795,0.05427899402931065
1991-09-27,SE-06,Sarawak,N.30 Matu Daro,8396,6305,1,133,6171,3495,75.09528346831824,56.63587749149247,2.109771573604061,0.01586042823156225
1991-09-27,SE-06,Sarawak,N.31 Meradong,12773,9136,10,84,9042,1905,71.52587489235106,21.068347710683476,0.9204470742932281,0.10945709281961472
1991-09-27,SE-06,Sarawak,N.32 Repok,15543,11818,46,106,11666,1403,76.03422762658431,12.026401508657637,0.9004417261297996,0.3892367574885767
1991-09-27,SE-06,Sarawak,N.33 Pakan,6400,5054,6,69,4979,595,78.96875,11.950190801365736,1.366877971473851,0.1187178472497032
1991-09-27,SE-06,Sarawak,N.34 Meluan,8222,6435,724,146,5565,947,78.2656288007784,17.01707097933513,2.556469970232884,11.25097125097125
1991-09-27,SE-06,Sarawak,N.35 Ngemah,7418,5436,15,77,5344,482,73.28120787274199,9.01946107784431,1.4204021398266002,0.27593818984547464
1991-09-27,SE-06,Sarawak,N.36 Machan,8736,6847,9,49,6789,611,78.3768315018315,8.999852702901753,0.7165837964317052,0.13144442821673724
1991-09-27,SE-06,Sarawak,N.37 Dudong,18619,13304,95,206,13003,6031,71.45389118642247,46.38160424517419,1.5595427360133243,0.7140709561034275
1991-09-27,SE-06,Sarawak,N.38 Bukit Assek,20459,14858,14,59,14785,6353,72.62329537123027,42.96922556645249,0.3974669900296416,0.0942253331538565
1991-09-27,SE-06,Sarawak,N.39 Bawang Assan,13734,9401,8,61,9332,2892,68.45056065239552,30.990141448778395,0.6494197806877462,0.085097330071269
1991-09-27,SE-06,Sarawak,N.40 Seduan,18637,12766,650,264,11852,5912,68.49814884369802,49.88187647654404,2.1789369428854406,5.091649694501019
