date,election,state,seat,area_name,ballot_order,name,candidate_uid,party,party_uid,votes,votes_perc,result
1955-07-25,GE-00,Kedah,P.038 Alor Star,Alor Star,1,Lee Thean Hin,94,PERIKATAN,2,27897,93.98942084161584,won
1955-07-25,GE-00,Kedah,P.038 Alor Star,Alor Star,2,Haji Salim Bin Haji Mohd. Rejab,95,BEBAS,1,1784,6.010579158384152,lost_deposit
1955-07-25,GE-00,Kedah,P.039 Kota Star,Kota Star,1,Tunku Kassim Ibni Almarhom Sultan Abdul Hamid,96,PERIKATAN,2,27357,92.65707027942422,won
1955-07-25,GE-00,Kedah,P.039 Kota Star,Kota Star,2,Haji Rejab Bin Haji Darus,97,BEBAS,1,2168,7.342929720575783,lost_deposit
1955-07-25,GE-00,Kedah,P.040 Kedah Utara,Kedah Utara,1,Syed Ahmad Bin Syed Mahmud Shahabudin,98,PERIKATAN,2,25544,89.84559108015898,won
1955-07-25,GE-00,Kedah,P.040 Kedah Utara,Kedah Utara,2,Haji Abdullah Bin Haji Abbas,99,BEBAS,1,1578,5.550279624353698,lost_deposit
1955-07-25,GE-00,Kedah,P.040 Kedah Utara,Kedah Utara,3,Haji Laidin Bin Haji Abdul Manan,100,BEBAS,1,1309,4.60412929548732,lost_deposit
1955-07-25,GE-00,Kedah,P.041 Kedah Tengah,Kedah Tengah,1,Md. Khir Bin Johari,101,PERIKATAN,2,31077,95.59800664451828,won
1955-07-25,GE-00,Kedah,P.041 Kedah Tengah,Kedah Tengah,2,Puteh Bin Napa,102,BEBAS,1,1431,4.401993355481728,lost_deposit
1955-07-25,GE-00,Kedah,P.042 Sungei Muda,Sungei Muda,1,Tunku Abdul Rahman Putra,103,PERIKATAN,2,22226,94.71979544001705,won
1955-07-25,GE-00,Kedah,P.042 Sungei Muda,Sungei Muda,2,Syed Jan Aljeffri,104,BEBAS,1,1239,5.280204559982953,lost_deposit
1955-07-25,GE-00,Kedah,P.043 Kedah Selantan,Kedah Selantan,1,Lim Teng Kwang,105,PERIKATAN,2,21050,93.08804669880158,won
1955-07-25,GE-00,Kedah,P.043 Kedah Selantan,Kedah Selantan,2,M. Saleh Bin Haji Shafie,106,PAS,3,1563,6.911953301198426,lost_deposit
