date,election,state,seat,ballot_order,name,candidate_uid,party,party_uid,votes
1959-05-20,GE-01,Kedah,P.008 Kota Star Selatan,1,Wan Sulaiman Bin Wan Tam,318,PERIKATAN,2,8369
1959-05-20,GE-01,Kedah,P.008 Kota Star Selatan,2,Lebai Othman Bin Haji Yunus,319,PAS,3,7824
1959-05-20,GE-01,Kedah,P.009 Kedah Tengah,1,Shariff Babul,325,BEBAS,1,1234
1959-05-20,GE-01,Kedah,P.009 Kedah Tengah,2,Haji Hussin Dol,389,PAS,3,4435
1959-05-20,GE-01,Kedah,P.009 Kedah Tengah,3,Mohamed Khir Johari,101,PERIKATAN,2,11271
1959-05-20,GE-01,Kedah,P.010 Jerai,1,Ismail Yusof,323,PERIKATAN,2,11350
1959-05-20,GE-01,Kedah,P.010 Jerai,2,Haji Mahmud Bin Haji Abdullah,324,PAS,3,6403
1959-05-20,GE-01,Kedah,P.011 Baling,1,Wan Basor Ali Bin Wan Salim,330,BEBAS,1,1605
1959-05-20,GE-01,Kedah,P.011 Baling,2,Harun Bin Abdullah,331,PERIKATAN,2,12118
1959-05-20,GE-01,Kedah,P.011 Baling,3,Syed Jan Aljeffri,104,PAS,3,3521
1959-05-20,GE-01,Kedah,P.012 Sungei Patani,1,Samad Osman,328,PERIKATAN,2,9186
1959-05-20,GE-01,Kedah,P.012 Sungei Patani,2,Mansor Tobeng,329,BEBAS,1,5673
1959-05-20,GE-01,Kedah,P.013 Kulim Utara,1,Shorbaini,332,PAS,3,2533
1959-05-20,GE-01,Kedah,P.013 Kulim Utara,2,Hanafi Bin Mohd Yunus,333,PERIKATAN,2,12281
1959-05-20,GE-01,Kedah,P.014 Kulim-Bandar Bahru,1,Tan Tye Shek,334,PERIKATAN,2,11317
1959-05-20,GE-01,Kedah,P.014 Kulim-Bandar Bahru,2,Choong An Fong,335,BEBAS,1,4946
1959-05-20,GE-01,Kelantan,P.015 Tumpat,1,Mahmood Juhan,349,PERIKATAN,2,6380
1959-05-20,GE-01,Kelantan,P.015 Tumpat,2,Haji Che' Hassan,350,PAS,3,10249
1959-05-20,GE-01,Kelantan,P.016 Kelantan Hilir,1,Hassan Hj. Yaacob,351,PERIKATAN,2,4327
1959-05-20,GE-01,Kelantan,P.016 Kelantan Hilir,2,Wan Mustapha,352,PAS,3,12438
1959-05-20,GE-01,Kelantan,P.017 Pasir Mas Hilir,1,Nik Man Bin Nik Mohamed,345,PAS,3,12422
1959-05-20,GE-01,Kelantan,P.017 Pasir Mas Hilir,2,Che' Omar Bin Hj. Ali,346,PERIKATAN,2,3130
1959-05-20,GE-01,Kelantan,P.018 Kota Bharu Hilir,1,Nik Ismail Bin Nik Hussin,353,PERIKATAN,2,6302
1959-05-20,GE-01,Kelantan,P.018 Kota Bharu Hilir,2,Haji Ahmad,354,PAS,3,9463
1959-05-20,GE-01,Kelantan,P.019 Bachok,1,Nik Min Ali,343,PERIKATAN,2,3761
1959-05-20,GE-01,Kelantan,P.019 Bachok,2,Zulkiflee Bin Muhammad,344,PAS,3,13380
1959-05-20,GE-01,Kelantan,P.020 Kota Bharu Hulu,1,Haji Hussein Rahimi,355,PAS,3,14775
1959-05-20,GE-01,Kelantan,P.020 Kota Bharu Hulu,2,Che' Ismail Obrahim,356,PERIKATAN,2,3749
1959-05-20,GE-01,Kelantan,P.021 Pasir Mas Hulu,1,Dato' Raja Hanifah,347,PAS,3,9518
1959-05-20,GE-01,Kelantan,P.021 Pasir Mas Hulu,2,Yaacob Bin Awang,348,PERIKATAN,2,3559
1959-05-20,GE-01,Kelantan,P.022 Pasir Puteh,1,Mohammad Asri,112,PAS,3,12284
1959-05-20,GE-01,Kelantan,P.022 Pasir Puteh,2,Mat Idris,342,PERIKATAN,2,6630
1959-05-20,GE-01,Kelantan,P.023 Tanah Merah,1,Othman Abdullah,339,PAS,3,12752
1959-05-20,GE-01,Kelantan,P.023 Tanah Merah,2,Ustadz Azhari,340,PERIKATAN,2,6774
1959-05-20,GE-01,Kelantan,P.024 Ulu Kelantan,1,Tengku Indra Petra,116,PERIKATAN,2,8770
